1.725871705364151865e+02,1.612109309807598549e+02,2.030382106035463039e+02
1.733435192322288572e+02,1.608326322408945543e+02,2.026292262606344536e+02
1.741070286789313286e+02,1.604670380968614722e+02,2.022122797434470272e+02
1.748710539770899857e+02,1.601025600648268892e+02,2.017960195959967962e+02
1.756434508191615578e+02,1.597503145560663427e+02,2.013709452164718527e+02
1.764213585247449885e+02,1.594115292015785599e+02,2.009385483100666647e+02
1.772027244564330886e+02,1.590726898925226180e+02,2.005050291944349397e+02
1.779899824221865856e+02,1.587472078793923060e+02,2.000638265371120497e+02
1.787839034696910971e+02,1.584348053135189502e+02,1.996144028080728106e+02
1.795792669877139360e+02,1.581232665874988754e+02,1.991648591538458106e+02
1.803727962618402216e+02,1.578139388619774479e+02,1.987170267230640661e+02
1.811777732545568256e+02,1.575302487417820885e+02,1.982527946058191617e+02
1.819828885354441184e+02,1.572480331827736393e+02,1.977890520986094600e+02
1.827853805248118135e+02,1.569684078995688878e+02,1.973273335761826957e+02
1.836005001093384692e+02,1.567141295682195050e+02,1.968482821047071525e+02
1.844094522405223131e+02,1.564494848377737526e+02,1.963785893440815755e+02
1.844094522405223131e+02,1.560349920236985497e+02,1.970313583779251587e+02
1.836005001093384692e+02,1.562958030040399251e+02,1.975029779604936664e+02
1.827853805248118135e+02,1.565460476110368404e+02,1.979842718861863204e+02
1.819828885354441184e+02,1.568222431812865238e+02,1.984476904862788160e+02
1.811777732545568256e+02,1.571010869128971876e+02,1.989131666649155648e+02
1.803727962618402216e+02,1.573814721701799044e+02,1.993791629193667347e+02
1.795792669877139360e+02,1.576880903381961616e+02,1.998282243073193740e+02
1.787839034696910971e+02,1.579969782343723352e+02,2.002790320647264650e+02
1.779899824221865856e+02,1.583067983623384976e+02,2.007297508107718613e+02
1.772027244564330886e+02,1.586300274155019281e+02,2.011719989038806773e+02
1.764213585247449885e+02,1.589669392044049232e+02,2.016063166630978856e+02
1.756434508191615578e+02,1.593038672996898129e+02,2.020395419910803696e+02
1.748710539770899857e+02,1.596545769053019512e+02,2.024652006364172792e+02
1.741070286789313286e+02,1.600178458780205517e+02,2.028817984946899173e+02
1.733435192322288572e+02,1.603822895225942204e+02,2.032991184746543638e+02
1.725871705364151865e+02,1.607597583192682009e+02,2.037082337243300572e+02
1.725871705364151865e+02,1.603354991337081685e+02,2.043640974005018620e+02
1.733435192322288572e+02,1.599588652758161516e+02,2.039548730259931517e+02
1.741070286789313286e+02,1.595955665416087186e+02,2.035372107789779363e+02
1.748710539770899857e+02,1.592335007348592910e+02,2.031203060490364294e+02
1.756434508191615578e+02,1.588843103716954488e+02,2.026941035842983183e+02
